"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Yasmani Grandal","LAD","C","1037.1","10","-1","0","","","0","","","9","","","","","-2","13.0","","","","","","","21.9","11368"
"Jorge Alfaro","PHI","C","869.0","4","4","2","","","-6","","","0","","","","","3","10.1","","","","","","","19.6","12180"
"Martin Maldonado","- - -","C","967.2","4","-2","3","","","-1","","","3","","","","","1","7.9","","","","","","","19.2","6887"
"Jeff Mathis","ARI","C","523.2","9","1","1","","","6","","","17","","","","","1","13.7","","","","","","","19.2","3448"
"Max Stassi","HOU","C","587.1","10","-1","0","","","-1","","","9","","","","","-13","14.1","","","","","","","19.1","10059"
"Sandy Leon","BOS","C","685.2","8","5","0","","","-1","","","12","","","","","2","13.2","","","","","","","19.1","5273"
"Tyler Flowers","ATL","C","617.0","10","-1","0","","","-1","","","7","","","","","-3","12.5","","","","","","","17.8","9134"
"Austin Hedges","SDP","C","725.0","9","1","-1","","","3","","","12","","","","","6","12.0","","","","","","","17.2","12976"
"Mike Zunino","SEA","C","921.2","4","5","3","","","-1","","","12","","","","","4","6.2","","","","","","","17.1","13265"
"Luke Maile","TOR","C","526.2","6","-1","1","","","-1","","","4","","","","","0","9.1","","","","","","","14.6","13355"
"Tony Wolters","COL","C","489.0","7","2","1","","","1","","","12","","","","","0","9.3","","","","","","","14.5","11470"
"Christian Vazquez","BOS","C","604.0","4","-1","-1","","","-3","","","0","","","","","2","10.2","","","","","","","14.4","9774"
"John Ryan Murphy","ARI","C","446.2","6","-1","-2","","","1","","","4","","","","","-2","10.2","","","","","","","12.0","10346"
"Manny Pina","MIL","C","743.0","2","0","2","","","2","","","6","","","","","4","3.0","","","","","","","11.4","2829"
"Buster Posey","SFG","C","759.1","2","5","0","","","3","","","10","","","","","9","4.5","","","","","","","11.0","9166"
"Austin Barnes","LAD","C","434.2","8","0","-1","","","3","","","10","","","","","1","8.2","","","","","","","10.9","12158"
"Alex Avila","ARI","C","488.0","4","-1","1","","","2","","","6","","","","","-3","5.8","","","","","","","10.9","7476"
"Yan Gomes","CLE","C","948.2","3","3","0","","","-1","","","4","","","","","7","2.7","","","","","","","10.9","9627"
"Russell Martin","TOR","C","620.0","6","2","-2","","","2","","","7","","","","","1","7.0","","","","","","","10.3","4616"
"Gary Sanchez","NYY","C","653.0","6","3","2","","","-6","","","6","","","","","-1","2.7","","","","","","","10.3","11442"
"Erik Kratz","MIL","C","491.2","3","1","0","","","0","","","4","","","","","-1","5.8","","","","","","","10.0","4403"
"Austin Romine","NYY","C","611.1","3","0","-1","","","4","","","6","","","","","-3","5.4","","","","","","","9.7","5491"
"Roberto Perez","CLE","C","476.2","6","-1","-2","","","1","","","4","","","","","2","7.6","","","","","","","9.6","2900"
"J.T. Realmuto","MIA","C","951.0","-2","-5","0","","","-1","","","-7","","","","","2","0.3","","","","","","","8.5","11739"
"Bobby Wilson","MIN","C","390.2","2","1","0","","","4","","","7","","","","","0","4.9","","","","","","","8.3","6564"
"Yadier Molina","STL","C","1017.2","1","-3","-1","","","3","","","-1","","","","","11","0.5","","","","","","","8.2","7007"
"James McCann","DET","C","987.1","1","-4","3","","","-1","","","-1","","","","","-1","-3.5","","","","","","","8.0","12859"
"Bryan Holaday","MIA","C","357.1","1","1","3","","","2","","","7","","","","","0","1.9","","","","","","","8.0","11287"
"Jonathan Lucroy","OAK","C","1066.1","1","-9","2","","","-5","","","-11","","","","","1","-4.1","","","","","","","7.0","7870"
"Chris Iannetta","COL","C","753.1","1","-2","-3","","","-2","","","-8","","","","","-5","1.4","","","","","","","4.8","8267"
"Pedro Severino","WSN","C","512.0","1","0","0","","","0","","","1","","","","","-1","0.4","","","","","","","4.8","14523"
"Elias Diaz","PIT","C","549.1","-2","0","1","","","-3","","","-2","","","","","3","-1.8","","","","","","","3.9","11680"
"Salvador Perez","KCR","C","831.0","-8","1","7","","","0","","","1","","","","","4","-10.3","","","","","","","3.8","7304"
"Jose Briceno","LAA","C","302.0","1","1","1","","","-1","","","2","","","","","0","0.0","","","","","","","3.6","13151"
"Wilson Ramos","- - -","C","794.1","-2","-1","-1","","","-1","","","-5","","","","","1","-2.6","","","","","","","3.3","1433"
"Francisco Cervelli","PIT","C","793.2","-5","0","4","","","-5","","","-6","","","","","4","-7.7","","","","","","","3.1","5275"
"Raffy Lopez","SDP","C","269.1","1","2","0","","","0","","","4","","","","","-1","0.7","","","","","","","3.0","12606"
"Caleb Joseph","BAL","C","685.1","-4","2","1","","","-1","","","-1","","","","","-2","-4.1","","","","","","","2.7","7087"
"David Freitas","SEA","C","274.0","0","-1","-1","","","0","","","-2","","","","","-1","0.9","","","","","","","2.3","10619"
"Spencer Kieboom","WSN","C","347.2","-2","1","2","","","0","","","1","","","","","0","-3.2","","","","","","","1.8","13300"
"Chance Sisco","BAL","C","385.1","-1","-1","1","","","0","","","-1","","","","","-1","-2.7","","","","","","","1.6","15694"
"Brian McCann","HOU","C","487.0","-1","4","0","","","0","","","3","","","","","0","-3.9","","","","","","","0.3","4810"
"Austin Wynns","BAL","C","300.1","-2","-2","0","","","-1","","","-4","","","","","0","-2.3","","","","","","","0.3","15271"
"Grayson Greiner","DET","C","259.0","0","1","-2","","","0","","","-1","","","","","-1","-0.2","","","","","","","0.1","17062"
"Matt Wieters","WSN","C","559.1","-3","-1","0","","","3","","","-1","","","","","-2","-4.8","","","","","","","0.0","4298"
"Francisco Pena","STL","C","327.2","-3","1","-1","","","-2","","","-5","","","","","-1","-2.4","","","","","","","-0.6","8298"
"Kevin Plawecki","NYM","C","589.2","-3","2","-1","","","2","","","0","","","","","-2","-4.8","","","","","","","-0.7","13807"
"Kevan Smith","CHW","C","398.1","-1","0","-4","","","-1","","","-7","","","","","-3","-0.3","","","","","","","-0.8","12284"
"Victor Caratini","CHC","C","290.2","-1","1","-2","","","1","","","-1","","","","","-1","-1.4","","","","","","","-0.9","14968"
"Welington Castillo","CHW","C","354.1","-4","0","1","","","-1","","","-6","","","","","-1","-5.4","","","","","","","-1.4","3256"
"Curt Casali","CIN","C","297.0","-5","2","0","","","-1","","","-4","","","","","0","-3.9","","","","","","","-1.4","12510"
"Jesus Sucre","TBR","C","491.0","-2","2","0","","","1","","","2","","","","","-1","-5.7","","","","","","","-1.5","5942"
"Willson Contreras","CHC","C","1109.2","-7","2","5","","","3","","","2","","","","","4","-16.0","","","","","","","-1.5","11609"
"Drew Butera","- - -","C","416.1","-3","-3","-2","","","0","","","-8","","","","","","-4.2","","","","","","","-2.7","3411"
