"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Andrew Knapp","PHI","C","392.2","-4","-1","-2","","","-2","","","-9","","","","","-3","-4.6","","","","","","","-3.2","14942"
"Omar Narvaez","CHW","C","653.1","-8","0","0","","","-3","","","-13","","","","","-6","-10.3","","","","","","","-4.7","13338"
"Kurt Suzuki","ATL","C","749.0","-8","2","-2","","","0","","","-7","","","","","-5","-9.3","","","","","","","-4.8","8259"
"A.J. Ellis","SDP","C","370.0","-7","-3","-1","","","-1","","","-12","","","","","0","-8.5","","","","","","","-6.3","5677"
"Tucker Barnhart","CIN","C","991.0","-9","-3","-1","","","7","","","-5","","","","","7","-14.0","","","","","","","-6.5","10200"
"Isiah Kiner-Falefa","TEX","C","305.1","-7","1","1","","","-3","","","-8","","","","","0","-10.1","","","","","","","-6.5","16512"
"Devin Mesoraco","- - -","C","566.1","-5","-2","-2","","","1","","","-7","","","","","-2","-9.8","","","","","","","-7.0","5666"
"Nick Hundley","SFG","C","642.0","-9","-5","-2","","","-1","","","-18","","","","","-1","-11.2","","","","","","","-7.7","3376"
"Mitch Garver","MIN","C","669.1","-8","0","-4","","","-3","","","-16","","","","","0","-10.1","","","","","","","-8.3","15161"
"Robinson Chirinos","TEX","C","893.0","-6","-4","-4","","","3","","","-11","","","","","-1","-15.6","","","","","","","-12.0","3142"
