"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Francisco Cervelli","PIT","C","1099.2","11","-3","0","","","-1","","","8","","","","","1","20.8","","","","","","","30.3","5275"
"Yasmani Grandal","LAD","C","884.1","9","-1","-2","","","1","","","6","","","","","0","23.0","","","","","","","28.6","11368"
"Derek Norris","SDP","C","1040.2","2","0","2","","","2","","","6","","","","","0","11.7","","","","","","","22.6","6867"
"Jason Castro","HOU","C","883.1","7","1","3","","","0","","","11","","","","","1","10.6","","","","","","","21.2","8722"
"Russell Martin","TOR","C","994.0","6","-1","4","","","-5","","","4","","","","","10","7.8","","","","","","","20.3","4616"
"Tyler Flowers","CHW","C","878.1","16","3","-4","","","0","","","14","","","","","-4","16.4","","","","","","","19.9","9134"
"Yadier Molina","STL","C","1149.2","2","6","1","","","1","","","9","","","","","14","8.5","","","","","","","19.3","7007"
"Buster Posey","SFG","C","901.2","8","1","0","","","6","","","17","","","","","10","9.4","","","","","","","17.1","9166"
"Miguel Montero","CHC","C","825.0","9","-2","-1","","","1","","","7","","","","","-1","11.0","","","","","","","17.1","3364"
"Mike Zunino","SEA","C","919.2","9","0","-1","","","0","","","8","","","","","4","9.4","","","","","","","16.3","13265"
"Martin Maldonado","MIL","C","602.2","3","2","4","","","0","","","9","","","","","3","7.0","","","","","","","16.2","6887"
"Kevin Plawecki","NYM","C","602.2","10","5","1","","","1","","","17","","","","","0","9.9","","","","","","","16.1","13807"
"Chris Iannetta","LAA","C","718.2","7","1","-1","","","-1","","","7","","","","","-5","10.1","","","","","","","15.3","8267"
"Travis d'Arnaud","NYM","C","569.1","4","-4","-1","","","1","","","0","","","","","1","11.3","","","","","","","15.1","7739"
"Rene Rivera","TBR","C","784.2","0","-6","2","","","0","","","-6","","","","","3","4.4","","","","","","","13.2","3648"
"Roberto Perez","CLE","C","538.1","3","1","3","","","0","","","7","","","","","2","5.0","","","","","","","12.7","2900"
"Austin Hedges","SDP","C","350.2","3","0","1","","","2","","","6","","","","","3","7.9","","","","","","","12.0","12976"
"Caleb Joseph","BAL","C","826.1","3","6","0","","","2","","","12","","","","","2","4.8","","","","","","","11.9","7087"
"David Ross","CHC","C","402.1","0","2","5","","","-2","","","5","","","","","2","2.6","","","","","","","11.0","1551"
"Jonathan Lucroy","MIL","C","745.0","4","0","0","","","0","","","3","","","","","4","4.3","","","","","","","10.7","7870"
"Jesus Sucre","SEA","C","379.1","1","-2","3","","","1","","","4","","","","","2","4.3","","","","","","","10.6","5942"
"Geovany Soto","CHW","C","487.1","3","-2","1","","","0","","","2","","","","","-5","3.2","","","","","","","8.4","3707"
"Brian McCann","NYY","C","1042.1","-4","0","2","","","-3","","","-4","","","","","4","-2.9","","","","","","","8.0","4810"
"Chris Stewart","PIT","C","372.2","3","2","-1","","","0","","","4","","","","","-1","5.7","","","","","","","7.9","3878"
"Tucker Barnhart","CIN","C","598.0","0","-3","1","","","-1","","","-3","","","","","3","1.6","","","","","","","7.8","10200"
"Bobby Wilson","- - -","C","373.1","4","1","0","","","1","","","6","","","","","-1","4.6","","","","","","","7.8","6564"
"Wilson Ramos","WSN","C","1078.1","1","4","2","","","3","","","10","","","","","-5","-4.4","","","","","","","6.9","1433"
"Salvador Perez","KCR","C","1192.1","-4","-1","2","","","4","","","1","","","","","9","-5.8","","","","","","","6.4","7304"
"Jose Lobaton","WSN","C","347.1","3","-2","-1","","","0","","","0","","","","","0","4.3","","","","","","","6.3","4243"
