"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Yan Gomes","CLE","C","800.0","-3","-1","0","","","3","","","-1","","","","","6","-0.6","","","","","","","6.2","9627"
"Ryan Hanigan","BOS","C","454.1","3","0","0","","","-2","","","2","","","","","0","1.4","","","","","","","5.3","4952"
"Carlos Perez","LAA","C","665.0","-1","-1","2","","","1","","","0","","","","","3","-2.8","","","","","","","5.0","10642"
"Josh Phegley","OAK","C","541.0","-1","-1","4","","","-1","","","2","","","","","1","-4.2","","","","","","","4.4","9308"
"Carlos Corporan","TEX","C","277.2","0","0","0","","","-1","","","-2","","","","","-2","1.6","","","","","","","4.0","5587"
"Tuffy Gosewisch","ARI","C","311.1","-3","0","1","","","2","","","0","","","","","-1","0.3","","","","","","","4.0","5277"
"Cameron Rupp","PHI","C","701.1","1","3","2","","","1","","","6","","","","","-3","-4.2","","","","","","","3.8","11146"
"Curt Casali","TBR","C","275.1","1","0","-1","","","-1","","","-1","","","","","-1","1.7","","","","","","","3.1","12510"
"John Ryan Murphy","NYY","C","415.1","2","-1","-2","","","-1","","","-2","","","","","1","0.6","","","","","","","2.2","10346"
"Hank Conger","HOU","C","514.2","0","-1","-6","","","1","","","-6","","","","","-7","3.6","","","","","","","2.0","2505"
"Sandy Leon","BOS","C","306.0","-1","1","3","","","0","","","3","","","","","-1","-3.9","","","","","","","1.7","5273"
"Drew Butera","- - -","C","282.2","-1","-1","2","","","-1","","","-1","","","","","-1","-2.9","","","","","","","1.5","3411"
"Dioner Navarro","TOR","C","320.0","-3","1","2","","","-1","","","-1","","","","","-2","-3.3","","","","","","","1.4","3179"
"Stephen Vogt","OAK","C","803.0","-8","7","-1","","","-1","","","-3","","","","","-2","-5.7","","","","","","","0.2","5000"
"Blake Swihart","BOS","C","688.0","-7","-2","0","","","-7","","","-16","","","","","1","-5.7","","","","","","","0.2","13176"
"Chris Herrmann","MIN","C","278.0","-3","0","3","","","-1","","","-1","","","","","-2","-5.3","","","","","","","0.0","9284"
"Andrew Susac","SFG","C","302.2","1","0","-4","","","1","","","-1","","","","","-1","1.2","","","","","","","-0.2","13132"
"Tony Cruz","STL","C","287.0","-2","-1","-1","","","0","","","-4","","","","","-2","-2.1","","","","","","","-0.6","2802"
"Robinson Chirinos","TEX","C","645.0","-3","0","0","","","3","","","0","","","","","1","-6.2","","","","","","","-0.7","3142"
"Michael McKenry","COL","C","272.1","2","1","-3","","","0","","","-1","","","","","-1","-0.2","","","","","","","-0.9","9628"
"Christian Bethancourt","ATL","C","357.0","-4","0","2","","","1","","","-1","","","","","-1","-6.1","","","","","","","-1.0","10028"
"Chris Gimenez","TEX","C","279.0","-2","1","-2","","","-1","","","-4","","","","","-1","-1.9","","","","","","","-1.5","7324"
"Welington Castillo","- - -","C","736.2","-4","-4","-2","","","3","","","-9","","","","","-1","-6.1","","","","","","","-1.8","3256"
"Nick Hundley","COL","C","866.1","-8","-8","2","","","2","","","-11","","","","","-4","-12.0","","","","","","","-2.6","3376"
"Kurt Suzuki","MIN","C","1096.0","-9","4","-6","","","2","","","-9","","","","","-11","-7.1","","","","","","","-3.7","8259"
"Matt Wieters","BAL","C","485.1","-4","-2","0","","","-1","","","-7","","","","","-1","-8.0","","","","","","","-3.9","4298"
"Alex Avila","DET","C","365.2","-5","1","0","","","-3","","","-7","","","","","0","-7.4","","","","","","","-4.3","7476"
"A.J. Pierzynski","ATL","C","909.2","-5","-1","-3","","","-5","","","-13","","","","","-9","-9.4","","","","","","","-4.6","746"
"J.T. Realmuto","MIA","C","1025.1","-5","7","0","","","-1","","","1","","","","","2","-13.5","","","","","","","-4.7","11739"
"A.J. Ellis","LAD","C","492.0","-7","-2","1","","","1","","","-7","","","","","0","-10.2","","","","","","","-5.0","5677"
"James McCann","DET","C","943.1","-6","-2","0","","","1","","","-6","","","","","5","-13.1","","","","","","","-5.0","12859"
"Jarrod Saltalamacchia","- - -","C","389.0","-3","0","-2","","","0","","","-5","","","","","-3","-7.1","","","","","","","-5.8","5557"
"Brayan Pena","CIN","C","754.1","-3","4","-5","","","0","","","-5","","","","","-3","-8.1","","","","","","","-6.6","3231"
"Carlos Ruiz","PHI","C","716.0","-6","-3","-3","","","-1","","","-12","","","","","-5","-13.3","","","","","","","-10.1","2579"
