"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"1","Salvador Perez","MLB","8,529","-0.002","0.001","-2.7","1.0","5606","-0.000","0.7","79","-0.011","0.001","0.5","2015","-1.0","-3.7"
"2","Yadier Molina","MLB","7,919","0.011","0.002","11.9","1.7","5334","-0.001","1.5","56","-0.066","-0.006","2.4","2015","15.4","16.9"
"3","Kurt Suzuki","MLB","7,759","-0.003","0.002","-2.8","1.6","4950","-0.001","1.4","83","0.086","-0.002","-3.6","2015","-5.9","-5.5"
"4","Brian McCann","MLB","7,701","0.001","0.002","0.8","1.9","5244","-0.000","0.6","70","-0.033","0.000","1.2","2015","2.1","4.4"
"5","Francisco Cervelli","MLB","7,595","0.021","0.002","21.6","1.6","5098","0.001","-1.1","116","0.041","0.006","-2.6","2015","17.1","22.0"
"6","Derek Norris","MLB","7,514","0.015","0.002","15.0","2.1","5055","-0.001","1.7","111","-0.034","0.008","2.0","2015","18.3","16.6"
"7","J.T. Realmuto","MLB","7,327","-0.010","0.002","-10.2","2.3","4619","0.000","-0.4","53","0.003","-0.004","0.2","2015","-11.2","-10.6"
"8","Wilson Ramos","MLB","7,220","0.006","0.003","5.7","3.3","4532","-0.002","2.8","49","-0.048","-0.010","2.0","2015","10.9","12.3"
"9","James McCann","MLB","6,883","-0.012","0.001","-11.2","0.8","4235","-0.000","0.3","61","-0.048","-0.004","1.8","2015","-9.1","-11.3"
"10","Russell Martin","MLB","6,823","0.016","0.002","14.3","2.0","4315","0.004","-4.1","63","-0.078","0.006","2.6","2015","12.9","12.9"
"11","A.J. Pierzynski","MLB","6,618","-0.005","0.002","-4.4","1.7","4363","0.001","-1.4","77","0.026","0.003","-1.0","2015","-7.2","-8.4"
"12","Nick Hundley","MLB","6,481","-0.012","0.002","-10.5","1.6","4504","-0.001","1.6","71","-0.012","-0.001","0.5","2015","-8.8","-7.5"
"13","Tyler Flowers","MLB","6,312","0.023","0.001","19.2","0.5","4378","0.003","-2.8","61","0.017","0.004","-0.6","2015","15.1","15.0"
"14","Mike Zunino","MLB","6,303","0.016","0.002","13.2","1.8","3996","0.001","-1.5","59","-0.013","-0.001","0.5","2015","11.5","10.3"
"15","Buster Posey","MLB","6,228","0.018","0.002","15.0","1.6","3872","-0.002","2.0","55","-0.025","-0.002","0.9","2015","17.2","19.7"
"16","Jason Castro","MLB","6,227","0.017","0.002","14.1","1.8","4119","0.002","-1.8","59","-0.033","0.005","1.0","2015","12.7","13.0"
"17","Yasmani Grandal","MLB","5,958","0.033","0.002","26.2","1.5","3817","0.001","-0.7","63","0.001","0.002","-0.0","2015","24.9","25.6"
"18","Caleb Joseph","MLB","5,862","0.015","0.003","12.1","2.1","3780","-0.000","0.4","46","-0.036","-0.004","1.1","2015","13.8","14.0"
"19","Stephen Vogt","MLB","5,816","-0.007","0.002","-5.2","1.5","3723","0.001","-1.2","54","-0.017","-0.003","0.7","2015","-5.5","-9.0"
"20","Rene Rivera","MLB","5,605","0.010","0.001","7.9","0.8","3892","0.000","-0.4","58","-0.042","0.006","1.3","2015","8.5","8.2"
"21","Brayan Pena","MLB","5,583","-0.004","0.001","-2.6","1.1","3562","-0.000","0.2","62","0.063","-0.001","-2.0","2015","-5.1","-5.6"
"22","Miguel Montero","MLB","5,556","0.024","0.004","18.0","2.7","3591","-0.002","1.7","80","0.061","0.006","-2.6","2015","16.8","16.4"
"23","Welington Castillo","MLB","5,487","-0.009","0.004","-6.8","2.7","3621","-0.002","1.4","35","0.016","-0.006","0.0","2015","-5.4","-5.3"
"24","Carlos Ruiz","MLB","5,367","-0.020","0.004","-14.2","2.7","3885","0.000","-0.2","51","0.050","0.000","-1.3","2015","-15.6","-14.9"
"25","Chris Iannetta","MLB","5,262","0.023","0.002","16.4","1.5","3234","0.001","-0.7","50","0.027","-0.003","-0.6","2015","15.4","15.9"
"26","Jonathan Lucroy","MLB","5,253","0.005","0.002","3.8","1.6","3514","-0.001","0.6","83","0.023","0.009","-1.0","2015","3.2","3.2"
"27","Yan Gomes","MLB","5,209","0.002","0.003","1.1","1.8","3212","0.000","-0.2","56","-0.000","0.000","0.0","2015","0.7","0.7"
"28","Blake Swihart","MLB","5,191","-0.003","0.002","-1.9","1.3","3526","0.004","-3.7","42","-0.010","0.003","0.2","2015","-7.1","-5.2"
"29","Robinson Chirinos","MLB","4,963","-0.002","0.002","-1.7","1.3","3299","-0.002","2.0","35","-0.003","-0.006","0.4","2015","0.9","-0.5"
"30","Cameron Rupp","MLB","4,795","-0.003","0.003","-2.0","1.8","3191","0.000","-0.1","48","-0.029","-0.001","0.8","2015","-1.6","-2.1"
"31","Carlos Perez","MLB","4,729","0.004","0.002","2.4","1.6","3221","-0.000","0.1","61","-0.037","0.002","1.2","2015","2.6","5.2"
"32","Tucker Barnhart","MLB","4,494","0.007","0.002","4.1","1.5","2958","-0.001","0.6","44","-0.009","-0.000","0.2","2015","3.9","6.0"
"33","Martin Maldonado","MLB","4,423","0.013","0.004","7.7","2.3","2949","-0.001","0.9","44","-0.026","-0.003","0.7","2015","9.5","7.2"
"34","Kevin Plawecki","MLB","3,965","0.025","0.003","13.3","1.8","2478","-0.001","0.6","39","0.018","-0.001","-0.3","2015","13.6","13.5"
"35","Travis d'Arnaud","MLB","3,853","0.027","0.002","13.7","1.2","2475","0.000","-0.1","38","-0.002","-0.001","0.1","2015","12.8","12.9"
"36","Josh Phegley","MLB","3,844","-0.006","0.002","-3.2","1.0","2530","0.002","-1.1","40","-0.042","-0.000","0.9","2015","-3.8","-4.3"
"37","Roberto Perez","MLB","3,694","0.013","0.004","6.6","1.9","2562","-0.003","2.2","36","-0.055","-0.003","1.2","2015","10.0","9.4"
"38","Hank Conger","MLB","3,690","0.011","0.004","5.3","1.8","2404","-0.001","0.6","38","0.113","0.000","-2.3","2015","3.6","3.5"
"39","Matt Wieters","MLB","3,553","-0.003","0.002","-1.6","0.8","2355","0.001","-0.5","24","-0.005","-0.004","0.2","2015","-2.7","0.2"
"40","Ryan Hanigan","MLB","3,458","0.006","0.003","2.6","1.6","2329","0.001","-0.8","30","-0.013","0.003","0.2","2015","1.2","1.2"
"41","Geovany Soto","MLB","3,354","0.004","0.003","1.7","1.4","2259","-0.000","0.1","28","0.008","-0.003","-0.0","2015","1.7","0.5"
"42","A.J. Ellis","MLB","3,213","-0.008","0.001","-3.4","0.2","2071","-0.000","0.0","36","-0.050","-0.002","1.0","2015","-2.7","0.5"
"43","John Ryan Murphy","MLB","3,119","0.002","0.004","0.7","1.5","2112","0.003","-1.6","26","0.007","-0.000","-0.1","2015","-0.9","-1.7"
"44","David Ross","MLB","2,873","0.015","0.003","5.8","1.2","1885","0.001","-0.3","58","0.014","0.006","-0.4","2015","7.7","5.2"
"45","Jarrod Saltalamacchia","MLB","2,840","-0.016","0.003","-6.2","1.1","1923","-0.001","0.4","23","0.029","-0.002","-0.3","2015","-5.6","-6.4"
"46","Alex Avila","MLB","2,762","-0.016","0.003","-5.9","1.0","1679","0.003","-1.2","26","-0.009","0.001","0.1","2015","-7.0","-8.1"
