"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"47","Bobby Wilson","MLB","2,723","0.020","0.003","7.1","1.1","1775","-0.005","2.1","34","0.023","-0.000","-0.4","2015","8.9","8.3"
"48","Austin Hedges","MLB","2,709","0.026","0.003","9.3","1.0","1842","-0.002","1.2","42","-0.011","0.000","0.2","2015","10.6","10.4"
"49","Christian Bethancourt","MLB","2,691","-0.008","0.004","-2.8","1.3","1713","0.001","-0.3","19","-0.037","-0.005","0.5","2015","-2.5","-0.8"
"50","Jesus Sucre","MLB","2,676","0.013","0.004","4.5","1.5","1878","-0.002","1.1","21","-0.055","0.000","0.6","2015","6.8","6.7"
"51","Jose Lobaton","MLB","2,492","0.018","0.004","5.9","1.5","1705","0.000","-0.1","27","0.023","0.002","-0.3","2015","5.2","5.0"
"52","Chris Stewart","MLB","2,468","0.023","0.002","7.5","0.5","1609","0.001","-0.3","48","0.024","0.007","-0.6","2015","7.0","6.9"
"53","Carlos Corporan","MLB","2,326","-0.002","0.004","-0.8","1.2","1577","0.000","-0.2","24","0.020","0.001","-0.3","2015","-1.7","-1.6"
"54","Tuffy Gosewisch","MLB","2,241","-0.001","0.001","-0.4","0.3","1424","-0.002","0.9","27","-0.024","0.004","0.3","2015","0.6","0.7"
"55","Drew Butera","MLB","2,177","-0.008","0.001","-2.4","0.4","1473","-0.000","0.1","20","-0.016","-0.002","0.2","2015","-1.8","-1.6"
"56","Andrew Susac","MLB","2,142","0.006","0.001","1.7","0.3","1357","-0.001","0.5","31","0.045","-0.000","-0.7","2015","2.1","2.5"
"57","Tony Cruz","MLB","2,112","0.002","0.002","0.6","0.6","1408","0.001","-0.5","17","0.033","-0.002","-0.3","2015","-0.4","0.2"
"58","Dioner Navarro","MLB","2,092","-0.007","0.003","-2.1","1.0","1246","-0.001","0.2","21","-0.026","-0.001","0.3","2015","-1.1","-1.6"
"59","Sandy Leon","MLB","2,074","-0.012","0.003","-3.4","0.7","1345","0.001","-0.3","19","-0.037","-0.000","0.4","2015","-3.4","-2.0"
"60","Chris Gimenez","MLB","1,956","0.006","0.003","1.6","0.9","1289","0.001","-0.4","17","0.062","0.003","-0.6","2015","1.8","0.9"
