"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"1","Yadier Molina","MLB","8,949","0.008","0.003","10.4","4.2","5999","-0.001","1.6","66","0.030","-0.010","-0.9","2016","10.7","11.7"
"2","J.T. Realmuto","MLB","8,415","-0.007","0.002","-8.5","2.7","5882","-0.001","1.8","68","-0.046","-0.004","2.1","2016","-5.6","-0.1"
"3","Salvador Perez","MLB","8,075","-0.008","0.002","-9.5","2.7","5425","-0.002","2.9","72","-0.122","-0.003","5.6","2016","-1.4","-1.9"
"4","Wilson Ramos","MLB","7,694","0.010","0.002","10.7","2.0","4895","0.001","-1.2","44","-0.050","-0.008","1.6","2016","11.4","10.0"
"5","Buster Posey","MLB","7,643","0.027","0.002","28.9","2.0","4830","-0.002","2.0","67","-0.049","-0.005","2.2","2016","32.9","36.2"
"6","Jonathan Lucroy","MLB","7,583","0.005","0.002","5.6","2.4","5277","-0.001","1.8","104","-0.067","0.006","4.4","2016","11.0","-2.1"
"7","Derek Norris","MLB","7,454","0.011","0.002","11.7","2.2","5030","-0.000","0.2","84","0.067","-0.000","-3.5","2016","7.7","10.2"
"8","Russell Martin","MLB","7,264","0.015","0.002","15.8","2.4","4733","-0.000","0.1","60","0.076","-0.002","-2.8","2016","12.5","13.0"
"9","Tucker Barnhart","MLB","7,165","-0.002","0.002","-2.3","2.1","4879","-0.002","2.3","89","-0.029","0.002","1.7","2016","1.8","3.4"
"10","Matt Wieters","MLB","7,158","0.001","0.002","0.7","1.9","4757","-0.001","1.0","54","-0.052","-0.003","1.9","2016","4.3","4.0"
"11","Welington Castillo","MLB","6,897","-0.008","0.002","-7.7","2.2","4891","0.001","-1.5","51","-0.092","-0.004","3.1","2016","-6.4","-8.6"
"12","Yasmani Grandal","MLB","6,749","0.029","0.002","28.0","2.0","4486","-0.000","0.3","68","-0.011","0.008","0.5","2016","29.2","33.6"
"13","Stephen Vogt","MLB","6,723","-0.009","0.002","-8.6","1.7","4356","0.002","-1.7","61","0.000","-0.001","0.0","2016","-11.0","-11.3"
"14","Cameron Rupp","MLB","6,693","-0.001","0.002","-1.0","1.9","4470","-0.001","0.6","53","0.026","0.004","-0.9","2016","-1.8","-1.0"
"15","Jason Castro","MLB","6,642","0.020","0.002","18.5","2.0","4615","0.000","-0.0","47","0.030","0.001","-0.9","2016","17.4","17.7"
"16","Kurt Suzuki","MLB","6,232","-0.005","0.003","-4.7","2.5","4245","-0.002","1.6","56","0.073","-0.005","-2.5","2016","-6.3","-6.2"
"17","James McCann","MLB","5,948","0.004","0.002","3.1","1.7","3774","-0.001","1.1","52","-0.109","-0.001","3.6","2016","8.5","5.9"
"18","Francisco Cervelli","MLB","5,904","0.016","0.002","13.0","1.4","4035","0.002","-1.9","70","0.055","-0.001","-2.4","2016","7.4","10.4"
"19","Dioner Navarro","MLB","5,676","-0.020","0.003","-15.9","2.0","3622","0.001","-0.8","49","0.019","0.001","-0.6","2016","-14.5","-1.8"
"20","Chris Iannetta","MLB","5,514","-0.013","0.003","-10.2","2.0","3709","0.002","-1.4","63","-0.020","0.003","0.8","2016","-11.1","-12.0"
"21","Brian McCann","MLB","5,243","0.015","0.003","11.0","2.1","3612","-0.003","2.7","50","0.015","0.002","-0.5","2016","13.2","12.2"
"22","Nick Hundley","MLB","5,022","-0.013","0.002","-9.3","1.3","3485","-0.000","0.0","54","0.093","0.002","-3.2","2016","-13.2","-12.8"
"23","Carlos Perez","MLB","4,981","-0.000","0.003","-0.3","1.9","3385","-0.002","1.3","50","-0.045","-0.003","1.5","2016","1.5","5.5"
"24","Tyler Flowers","MLB","4,925","0.019","0.002","13.3","1.5","3357","0.001","-0.8","51","0.137","0.002","-4.4","2016","8.1","6.5"
"25","Bobby Wilson","MLB","4,545","0.003","0.002","2.0","1.1","3087","-0.002","1.6","45","0.069","-0.007","-1.9","2016","1.3","-1.6"
"26","Travis d'Arnaud","MLB","4,400","0.013","0.003","8.1","2.0","3054","-0.001","1.0","69","0.056","0.006","-2.5","2016","6.2","8.2"
"27","Martin Maldonado","MLB","4,239","0.004","0.004","2.5","2.3","2858","-0.002","1.3","46","-0.073","-0.001","2.1","2016","7.5","5.5"
"28","Sandy Leon","MLB","4,151","-0.004","0.003","-2.1","1.7","2638","0.001","-0.5","30","-0.057","-0.004","1.1","2016","-1.0","-1.5"
"29","Yan Gomes","MLB","4,092","-0.006","0.004","-3.2","2.2","2545","0.001","-0.3","28","-0.009","0.000","0.2","2016","-3.0","-4.6"
