"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"30","Curtis Casali","MLB","4,049","0.012","0.002","6.6","1.3","2793","0.002","-1.3","32","-0.046","-0.000","0.9","2016","5.5","4.8"
"31","Jarrod Saltalamacchia","MLB","4,037","-0.011","0.002","-6.5","1.4","2654","-0.000","0.0","42","0.049","-0.003","-1.3","2016","-7.7","-8.8"
"32","A.J. Pierzynski","MLB","4,009","-0.007","0.002","-3.8","1.1","2620","0.006","-3.7","49","0.017","0.008","-0.5","2016","-8.1","-8.8"
"33","Miguel Montero","MLB","3,749","0.030","0.002","16.1","1.3","2532","0.003","-1.8","55","0.100","0.012","-3.5","2016","10.1","10.1"
"34","Jett Bandy","MLB","3,747","-0.002","0.003","-1.0","1.6","2550","-0.002","1.5","42","-0.072","-0.002","1.9","2016","1.7","2.7"
"35","Carlos Ruiz","MLB","3,654","-0.011","0.004","-5.8","1.8","2587","-0.002","1.2","29","-0.035","-0.006","0.7","2016","-4.2","1.5"
"36","Tony Wolters","MLB","3,526","0.020","0.002","9.9","1.0","2536","0.000","-0.1","33","-0.022","0.001","0.5","2016","9.8","8.8"
"37","Rene Rivera","MLB","3,300","0.017","0.003","7.9","1.6","2119","0.001","-0.6","53","-0.034","0.000","1.2","2016","8.1","10.5"
"38","A.J. Ellis","MLB","3,246","-0.001","0.002","-0.2","0.8","2096","0.002","-0.9","37","0.013","-0.001","-0.3","2016","-1.5","1.5"
"39","Alex Avila","MLB","3,234","-0.009","0.003","-4.2","1.4","2227","0.000","-0.0","29","0.032","0.002","-0.6","2016","-4.7","-5.7"
"40","Christian Vazquez","MLB","3,185","0.019","0.002","8.6","0.9","2086","0.002","-0.8","22","0.011","-0.004","-0.1","2016","7.5","7.8"
"41","Juan Centeno","MLB","3,170","-0.020","0.002","-8.9","1.1","2174","0.005","-2.4","18","0.039","0.004","-0.5","2016","-12.3","-12.1"
"42","Roberto Perez","MLB","3,154","0.017","0.002","7.7","1.0","2050","-0.003","1.3","24","-0.078","-0.004","1.2","2016","10.8","10.1"
"43","David Ross","MLB","3,125","0.015","0.004","6.4","2.0","1958","-0.005","2.1","59","0.011","0.009","-0.4","2016","9.2","8.7"
"44","Evan Gattis","MLB","3,098","0.009","0.003","3.9","1.1","2110","0.009","-4.4","25","-0.080","0.010","1.3","2016","0.8","0.5"
"45","Robinson Chirinos","MLB","3,062","-0.017","0.003","-7.4","1.3","2179","-0.004","1.9","26","0.003","-0.004","-0.0","2016","-6.5","-5.2"
"46","Mike Zunino","MLB","2,988","0.007","0.004","3.0","1.6","1890","-0.004","1.6","23","0.013","-0.003","-0.2","2016","3.9","3.7"
"47","Ramon Cabrera","MLB","2,883","-0.035","0.002","-14.4","0.7","1960","0.002","-0.7","33","0.037","-0.000","-0.8","2016","-16.5","-16.1"
"48","Willson Contreras","MLB","2,808","0.013","0.003","5.0","1.2","1921","-0.003","1.4","32","-0.039","0.001","0.8","2016","7.6","4.3"
"49","Chris Gimenez","MLB","2,782","-0.003","0.003","-1.3","1.3","1761","-0.001","0.3","19","0.015","0.000","-0.2","2016","-0.7","-0.7"
"50","Trevor Brown","MLB","2,767","-0.011","0.004","-4.3","1.4","1712","0.004","-1.4","25","0.034","0.007","-0.5","2016","-6.1","-6.3"
"51","Caleb Joseph","MLB","2,706","0.020","0.002","7.8","0.8","1953","-0.003","1.3","31","-0.009","-0.001","0.2","2016","9.5","9.2"
"52","Austin Romine","MLB","2,490","-0.005","0.002","-1.9","0.7","1776","0.000","-0.1","20","0.042","-0.004","-0.5","2016","-2.7","-3.4"
"53","Kevin Plawecki","MLB","2,420","0.021","0.004","7.1","1.2","1558","-0.003","0.9","34","0.011","-0.002","-0.2","2016","7.6","7.4"
"54","Josh Thole","MLB","2,414","0.016","0.005","5.6","1.6","1723","-0.007","2.6","22","0.016","0.003","-0.2","2016","7.7","7.9"
"55","Christian Bethancourt","MLB","2,385","0.001","0.003","0.2","0.9","1531","0.004","-1.5","19","-0.002","0.000","0.0","2016","-1.7","1.6"
"56","Hank Conger","MLB","2,385","0.015","0.003","5.0","0.9","1627","0.002","-0.7","35","0.049","0.010","-1.1","2016","2.8","1.9"
"57","Gary Sanchez","MLB","2,326","0.003","0.004","1.0","1.3","1521","0.004","-1.4","25","-0.076","0.009","1.2","2016","1.2","1.4"
"58","Drew Butera","MLB","2,317","0.005","0.003","1.8","1.0","1701","0.001","-0.4","17","0.012","0.004","-0.1","2016","1.0","0.4"
"59","Bryan Holaday","MLB","2,290","-0.015","0.005","-4.8","1.5","1577","-0.001","0.5","18","-0.030","-0.002","0.4","2016","-4.4","-0.0"
"60","Jeff Mathis","MLB","2,250","0.025","0.003","7.9","0.9","1508","-0.002","0.8","28","0.005","0.005","-0.1","2016","8.9","9.1"
"61","Eric Fryer","MLB","2,180","-0.007","0.003","-2.3","0.8","1457","0.003","-0.9","23","0.008","0.003","-0.1","2016","-2.6","0.1"
"62","Luke Maile","MLB","2,076","0.007","0.004","2.1","1.1","1416","-0.000","0.1","20","-0.008","0.004","0.1","2016","1.9","2.1"
"63","Ryan Hanigan","MLB","2,057","-0.011","0.004","-3.1","1.2","1509","0.006","-1.9","24","0.023","0.010","-0.3","2016","-5.8","-4.9"
