"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Buster Posey","SFG","C","1069.2","11","1","2","","","5","","","23","","","","","16","26.7","","","","","","","37.9","9166"
"Yasmani Grandal","LAD","C","954.1","14","-1","-1","","","-2","","","13","","","","","1","25.7","","","","","","","32.9","11368"
"Jason Castro","HOU","C","908.2","6","-4","-1","","","1","","","4","","","","","4","15.2","","","","","","","22.0","8722"
"Tony Wolters","COL","C","501.1","3","1","2","","","-1","","","5","","","","","3","10.4","","","","","","","16.7","11470"
"Francisco Cervelli","PIT","C","808.0","5","7","-2","","","-2","","","6","","","","","1","11.7","","","","","","","16.6","5275"
"Yadier Molina","STL","C","1218.1","3","4","-6","","","2","","","2","","","","","12","11.2","","","","","","","15.6","7007"
"Rene Rivera","NYM","C","481.2","2","2","2","","","-1","","","6","","","","","2","8.5","","","","","","","14.6","3648"
"Russell Martin","TOR","C","1069.1","11","3","-6","","","1","","","7","","","","","8","11.3","","","","","","","14.5","4616"
"Derek Norris","SDP","C","983.0","8","6","-3","","","2","","","15","","","","","-1","8.7","","","","","","","14.2","6867"
"Martin Maldonado","MIL","C","559.0","2","1","3","","","2","","","7","","","","","3","6.1","","","","","","","13.9","6887"
"James McCann","DET","C","843.2","0","1","7","","","1","","","9","","","","","8","-0.4","","","","","","","13.8","12859"
"Roberto Perez","CLE","C","451.2","3","0","3","","","2","","","8","","","","","1","6.8","","","","","","","13.7","2900"
"Jonathan Lucroy","- - -","C","1063.1","4","-9","5","","","4","","","4","","","","","10","-0.7","","","","","","","13.4","7870"
"Travis d'Arnaud","NYM","C","615.2","3","-5","-4","","","1","","","-4","","","","","-7","10.8","","","","","","","12.1","7739"
"Wilson Ramos","WSN","C","1096.1","1","0","-1","","","0","","","-1","","","","","4","3.6","","","","","","","12.0","1433"
"Christian Vazquez","BOS","C","438.2","6","-1","1","","","-1","","","5","","","","","4","7.2","","","","","","","11.9","9774"
"Tyler Flowers","ATL","C","686.0","14","-1","-7","","","-3","","","2","","","","","-5","13.0","","","","","","","11.9","9134"
"David Ross","CHC","C","448.2","5","3","5","","","1","","","13","","","","","2","2.3","","","","","","","11.2","1551"
"Curt Casali","TBR","C","560.1","5","2","1","","","3","","","11","","","","","-4","5.0","","","","","","","10.8","12510"
"Miguel Montero","CHC","C","558.1","8","0","-6","","","-3","","","-1","","","","","-5","11.9","","","","","","","10.7","3364"
"Jeff Mathis","MIA","C","310.0","5","2","0","","","1","","","8","","","","","1","7.6","","","","","","","10.2","3448"
"Willson Contreras","CHC","C","389.2","0","-3","4","","","0","","","1","","","","","3","2.2","","","","","","","9.6","11609"
"Evan Gattis","HOU","C","445.1","2","4","3","","","-5","","","4","","","","","-4","2.2","","","","","","","9.0","11003"
"Tucker Barnhart","CIN","C","931.2","-2","-7","3","","","4","","","-3","","","","","5","-2.8","","","","","","","8.1","10200"
"Caleb Joseph","BAL","C","355.1","2","0","0","","","0","","","2","","","","","0","4.8","","","","","","","7.8","7087"
"Welington Castillo","ARI","C","925.0","-5","0","2","","","5","","","2","","","","","0","-2.3","","","","","","","7.6","3256"
"Kevin Plawecki","NYM","C","349.2","2","1","0","","","0","","","3","","","","","-4","4.6","","","","","","","7.6","13807"
"Brian McCann","NYY","C","757.0","2","-1","-5","","","-2","","","-5","","","","","-1","5.9","","","","","","","7.4","4810"
"Jose Lobaton","WSN","C","277.2","1","0","0","","","1","","","2","","","","","0","4.7","","","","","","","7.1","4243"
"Gary Sanchez","NYY","C","316.0","-1","0","4","","","0","","","3","","","","","2","0.3","","","","","","","7.0","11442"
"Carlos Perez","LAA","C","670.1","1","2","2","","","2","","","8","","","","","2","-1.2","","","","","","","6.5","10642"
"Jett Bandy","LAA","C","520.0","-1","-1","3","","","1","","","2","","","","","1","-1.1","","","","","","","6.4","12508"
