"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Yan Gomes","CLE","C","582.1","-3","1","2","","","-1","","","0","","","","","4","-0.8","","","","","","","6.2","9627"
"Cameron Rupp","PHI","C","911.1","-5","-2","-2","","","0","","","-10","","","","","-2","-0.1","","","","","","","5.7","11146"
"Sandy Leon","BOS","C","600.1","-4","1","3","","","0","","","-1","","","","","3","-2.5","","","","","","","5.7","5273"
"Mike Zunino","SEA","C","443.2","4","3","-1","","","2","","","8","","","","","3","2.8","","","","","","","5.6","13265"
"Josh Thole","TOR","C","343.0","2","1","0","","","-2","","","1","","","","","-4","1.3","","","","","","","4.3","9689"
"Luke Maile","TBR","C","301.0","2","2","1","","","0","","","5","","","","","-1","0.0","","","","","","","3.6","13355"
"Christian Bethancourt","SDP","C","322.2","1","1","1","","","-2","","","2","","","","","2","-0.3","","","","","","","3.5","10028"
"Bobby Wilson","- - -","C","620.0","1","-2","-3","","","2","","","-3","","","","","-3","1.0","","","","","","","3.4","6564"
"Matt Wieters","BAL","C","980.1","-6","3","0","","","0","","","-3","","","","","2","-5.2","","","","","","","3.2","4298"
"Hank Conger","TBR","C","325.0","2","-2","-2","","","0","","","-2","","","","","-5","1.9","","","","","","","2.7","2505"
"Drew Butera","KCR","C","325.1","-1","0","-2","","","-2","","","-5","","","","","0","1.3","","","","","","","2.1","3411"
"Eric Fryer","- - -","C","306.1","-3","0","2","","","0","","","-1","","","","","-3","-2.8","","","","","","","1.8","8145"
"A.J. Ellis","- - -","C","450.1","-3","2","-1","","","0","","","-3","","","","","-1","-2.6","","","","","","","0.2","5677"
"Trevor Brown","SFG","C","390.2","-3","0","0","","","-2","","","-5","","","","","1","-3.9","","","","","","","-0.6","13895"
"Chris Gimenez","CLE","C","389.2","-2","1","-2","","","-1","","","-4","","","","","-2","-2.4","","","","","","","-1.0","7324"
"Omar Narvaez","CHW","C","269.0","0","1","-2","","","-1","","","-2","","","","","-1","-1.4","","","","","","","-1.1","13338"
"Chris Herrmann","ARI","C","263.1","-1","1","1","","","1","","","1","","","","","-1","-4.4","","","","","","","-1.2","9284"
"Kurt Suzuki","MIN","C","797.0","-5","-7","-3","","","3","","","-12","","","","","-8","-5.2","","","","","","","-1.4","8259"
"Carlos Ruiz","- - -","C","493.0","-3","1","4","","","2","","","4","","","","","2","-10.0","","","","","","","-1.8","2579"
"J.T. Realmuto","MIA","C","1113.0","-5","-12","1","","","3","","","-13","","","","","0","-12.7","","","","","","","-2.1","11739"
"Alex Avila","CHW","C","453.0","0","-2","1","","","0","","","-1","","","","","-4","-7.1","","","","","","","-2.2","7476"
"Ryan Hanigan","BOS","C","264.0","-2","1","0","","","-2","","","-3","","","","","-1","-4.9","","","","","","","-2.6","4952"
"Austin Romine","NYY","C","355.1","0","1","-3","","","1","","","-1","","","","","-1","-2.7","","","","","","","-2.7","5491"
"Salvador Perez","KCR","C","1105.2","-8","1","6","","","3","","","3","","","","","13","-18.4","","","","","","","-2.9","7304"
"Bryan Holaday","- - -","C","314.2","0","0","1","","","2","","","2","","","","","-1","-7.0","","","","","","","-3.3","11287"
"A.J. Pierzynski","ATL","C","532.0","-2","4","0","","","-7","","","-6","","","","","-9","-9.1","","","","","","","-4.5","746"
"Robinson Chirinos","TEX","C","399.0","-3","-1","-1","","","4","","","-1","","","","","-1","-7.6","","","","","","","-5.2","3142"
"Jarrod Saltalamacchia","DET","C","548.1","-4","-1","-2","","","-1","","","-7","","","","","-2","-8.2","","","","","","","-5.5","5557"
"Stephen Vogt","OAK","C","921.1","-9","3","-2","","","-2","","","-10","","","","","-3","-12.4","","","","","","","-6.5","5000"
"Nick Hundley","COL","C","678.1","-10","-1","-4","","","-1","","","-16","","","","","-7","-8.4","","","","","","","-6.6","3376"
"Chris Iannetta","SEA","C","776.1","-4","-3","1","","","-3","","","-10","","","","","-2","-14.8","","","","","","","-7.1","8267"
"Juan Centeno","MIN","C","438.2","-5","1","-1","","","0","","","-5","","","","","-3","-11.6","","","","","","","-8.9","7168"
"Ramon Cabrera","CIN","C","387.1","-8","1","-1","","","0","","","-8","","","","","-3","-15.6","","","","","","","-13.3","10327"
"Dioner Navarro","- - -","C","726.2","-9","-2","-1","","","-2","","","-14","","","","","-12","-20.2","","","","","","","-15.0","3179"
