last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Lobaton, Jose,446653,2015,1070,3,52.5,20,28.9,14.9,79.9,61.8,47.7,51.6,38.1
Cervelli, Francisco,465041,2015,3482,21,52.4,14.4,30.6,12.6,71.8,67.7,50.8,53.2,33.5
Ross, David,424325,2015,1321,3,52.3,19.1,30.2,6.1,76.5,68,38.5,49.5,32.6
Grandal, Yasmani,518735,2015,2801,24,52.2,31.3,50.7,19.7,74.1,74.6,38.3,37.1,35.2
Posey, Buster,457763,2015,2633,14,52.1,19.2,47.4,8.8,75.6,68.9,38.6,46.7,28
Hedges, Austin,595978,2015,1209,6,51.8,23.3,35.6,17.2,74.6,67.2,44.6,59.1,19.2
Plawecki, Kevin,608700,2015,1818,8,51.8,11.8,42.2,6.3,76.1,69.2,42,52.9,29.2
Castro, Jason,488771,2015,2876,10,51.3,23,35.6,16.7,74.8,73.9,37.6,45.7,28.3
Montero, Miguel,471083,2015,2770,13,51.2,16.5,32.3,11.1,78.4,65.5,46.5,54.3,28
Stewart, Chris,455755,2015,1127,4,51.2,4.1,38.7,14,71.9,62.6,48.8,55.7,31
Flowers, Tyler,452095,2015,2778,9,50.6,9.8,35.2,12.4,69.6,67.5,41.9,55.4,32.5
d'Arnaud, Travis,518595,2015,2241,7,49.8,18.1,37.2,13.3,76.7,59.6,45.1,52.5,24.9
Rivera, Rene,425784,2015,2487,7,49.4,23.8,35.6,5.7,80.6,59,48.2,50.8,20.4
Sucre, Jesus,491696,2015,1219,4,49.1,18,35.9,8.3,78,55.8,40.2,49.4,26.5
Iannetta, Chris,455104,2015,2432,8,48.8,28,44.1,14.1,75,62.8,37.7,46.1,23.5
Zunino, Mike,572287,2015,2833,7,48.5,26.4,37.5,9.1,76.8,53.1,34.5,53.6,27.7
Hanigan, Ryan,452672,2015,1556,1,48.5,18.4,39.4,15.9,76,59.5,41.8,51.5,23.3
Maldonado, Martin,455117,2015,2041,3,48.5,15,30.7,16.9,77.7,63.2,38.2,48.5,29.5
