last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Posey, Buster,457763,2016,3403,31,53.4,27.2,43.6,14.7,79.4,68.4,39.9,50.5,24.7
Mathis, Jeff,425772,2016,1048,5,53.2,14,29.8,8.6,69.8,66.8,44.2,58.5,45.5
Grandal, Yasmani,518735,2016,3284,28,52.7,28.7,48.7,23.3,74.7,71.8,31.1,47.3,29.6
d'Arnaud, Travis,518595,2016,2085,8,51.4,28.7,39.3,16.7,77,65.4,38.1,51.9,26.4
Montero, Miguel,471083,2016,1851,9,50.7,17.7,40.4,18.6,76,61,36.5,55.3,32.5
Perez, Roberto,547379,2016,1815,9,50.5,23.3,54.2,19.6,77.1,67,31.2,40.5,19.2
Flowers, Tyler,452095,2016,2207,9,50.5,9.9,29.2,8.2,77,58.1,49.7,62.8,28.7
Rivera, Rene,425784,2016,1569,6,49.9,22.4,40.8,14.3,72.4,70.7,40.5,42.9,25.9
Ross, David,424325,2016,1520,3,49.8,15.3,37.7,5.4,68.7,71.7,37.3,43.7,33.7
Gattis, Evan,594828,2016,1456,1,49.7,20,50.7,16.9,76.5,68.2,31.5,46.4,17.3
Cervelli, Francisco,465041,2016,2602,13,49.6,15.4,21.1,3.1,72.8,55.8,52.5,57.7,27.4
Wolters, Tony,547172,2016,1583,7,49.4,14.6,26.2,11,79.1,58.9,44.5,58.5,29.2
Castro, Jason,488771,2016,3097,12,49,22.8,41.5,18.8,72.6,68.3,35.5,43.5,23.2
Maldonado, Martin,455117,2016,1929,4,48.9,19.6,33.6,7.4,78.2,57.2,49.7,51.8,23.4
Plawecki, Kevin,608700,2016,1131,2,48.8,17.1,44.7,6.6,76.6,63.4,36.4,55.8,15.9
Sanchez, Gary,596142,2016,1037,0,48.2,12.7,43.8,6.4,75.6,63.8,34.3,40,19.2
Zunino, Mike,572287,2016,1401,3,48.1,10.5,36.6,20,67.2,59.1,38.8,52.5,28.3
Vazquez, Christian,543877,2016,1454,4,47.9,21.7,32.3,23.3,71.2,67,29.2,51.3,24.8
McCann, Brian,435263,2016,2506,0,47.8,11.7,25,6.6,76,53.9,48.6,52.1,22.7
Contreras, Willson,575929,2016,1625,0,47.8,12.8,32,8.3,71.5,59.6,45.3,52,29.8
Martin, Russell,431145,2016,3683,14,47.8,18,37.5,14.6,80,59.4,42.2,46.5,18.4
Perez, Carlos,542208,2016,2246,1,47.3,26.7,43.1,13.6,73.2,61.1,30.3,40.6,19.9
Joseph, Caleb,543376,2016,1231,3,47.1,37.3,47.2,11.1,80.2,48,34.3,45.6,15.5
Castillo, Welington,456078,2016,3198,1,47.1,13.4,26.9,6.7,70,57.7,37,48.8,24.5
Molina, Yadier,425877,2016,4072,11,47,19.6,46.6,11.8,71.5,61.6,33.5,44,21.9
Bethancourt, Christian,542194,2016,1105,1,46.7,27.1,37.4,17.4,78.9,60,35.6,37.1,22.4
Suzuki, Kurt,435559,2016,2798,1,46.6,19.7,44.2,17.6,73.2,61.7,32,36.1,17.9
Norris, Derek,519083,2016,3419,7,46.5,17.6,37.7,14.8,79.9,56.1,42.6,43.6,18.2
Rupp, Cameron,519237,2016,3099,-3,46.2,19.8,36.3,13.4,70.6,56.7,33.9,49.2,21.9
Romine, Austin,519222,2016,1197,-1,46.2,15.6,33.3,8.2,82.2,51.3,49.5,41,13.3
Butera, Drew,460077,2016,1077,0,46.1,17.5,20.8,12.8,75.9,59.6,37.5,51.3,17.5
McCann, James,543510,2016,2650,-3,46,31,43.4,23,78.6,61.1,32.4,31,12.5
Fryer, Eric,518700,2016,988,0,46,20,23.8,4.3,75.3,50.8,36.4,51.9,24.5
Ramos, Wilson,467092,2016,3478,1,45.5,33.7,52.7,10.5,81.7,51.9,34,33.5,10.9
Casali, Curt,592200,2016,1932,4,45.2,30,36.7,15.5,87,54.8,30.6,36.6,12
Bandy, Jett,542908,2016,1727,-2,45.2,11.4,42.9,23,67.4,69.7,29.1,39.8,19.8
Gimenez, Chris,460269,2016,1301,-2,44.8,11.6,31.4,12.1,77.6,58.5,38.6,44.1,18.8
Barnhart, Tucker,571466,2016,3292,-4,44.7,12.8,18.4,7.2,71.4,56,39.9,52.7,24.9
Realmuto, J.T.,592663,2016,3782,-11,44.7,14.8,26.9,4.6,74.9,50.7,36.9,46,19.1
Ellis, A.J.,454560,2016,1527,1,44.7,21.2,39.6,10.6,78.3,58.7,31.9,35.5,16
Leon, Sandy,506702,2016,2015,-7,44.5,22.6,52,23.7,73.2,57.8,22,32.6,12.8
Wilson, Bobby,435064,2016,2069,-2,44.4,18.6,34.4,8.8,78.3,54.5,26.9,46.4,18.6
Gomes, Yan,543228,2016,1924,0,44.3,25.4,33.6,13.2,81.9,46.6,39.4,38.8,20.6
Lucroy, Jonathan,518960,2016,3737,-5,44.2,13.8,29.7,6.1,73,52.3,34,48.8,21.6
Brown, Trevor,623143,2016,1239,-1,44.1,14.5,33.6,2.2,78.6,56.5,27.3,39.8,15.4
Conger, Hank,474233,2016,1118,-2,43.8,17.7,41.3,13.6,75.4,57.1,31.9,40.5,19.4
Vogt, Stephen,519390,2016,3048,-12,43.8,15.3,37.9,13.9,73.7,57.9,28,36.7,20.9
Navarro, Dioner,425900,2016,2660,-10,43.3,21.4,42.2,27,67,66.2,18.8,28.2,13.1
Wieters, Matt,446308,2016,3482,-10,42.9,26.5,35.5,10.3,83.6,48.8,36.4,34.2,11.3
Saltalamacchia, Jarrod,457454,2016,1804,-6,42.7,22.9,40.6,22.4,73.6,61.7,22.5,23.1,14.2
Perez, Salvador,521692,2016,3850,-17,42.5,21.1,41.5,17.2,72.7,57.2,24.6,32.7,14.8
Hundley, Nick,460026,2016,2205,-7,42.3,17.8,31,12.9,70,60.8,29.6,36.9,18.3
Ruiz, Carlos,434563,2016,1731,-8,42.3,16.9,28.6,8.2,77.9,42.9,36.9,42.1,13.1
Maile, Luke,571912,2016,1031,-2,42,23.2,41.9,12.7,78.3,53.7,24.1,34.6,14
