"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"1","Willson Contreras","MLB","8,347","-0.014","0.003","-17.8","3.6","5597","-0.001","1.9","69","-0.009","-0.004","0.4","2018","-15.0","-15.4"
"2","Yadier Molina","MLB","7,672","0.002","0.002","2.3","2.5","5154","-0.001","1.2","26","-0.009","-0.010","0.1","2018","3.5","1.4"
"3","James McCann","MLB","7,480","-0.002","0.002","-2.3","2.5","4797","0.001","-1.4","60","-0.027","-0.007","1.1","2018","-2.9","-5.0"
"4","Tucker Barnhart","MLB","7,435","-0.010","0.002","-11.5","1.9","4954","-0.003","3.6","59","0.005","-0.009","-0.3","2018","-8.4","-10.3"
"5","J.T. Realmuto","MLB","7,258","-0.000","0.002","-0.4","1.9","4638","-0.001","0.9","49","-0.005","-0.007","0.1","2018","0.4","4.3"
"6","Jonathan Lucroy","MLB","7,161","-0.003","0.001","-3.7","0.9","4676","0.003","-3.7","85","-0.005","0.004","0.3","2018","-7.3","-9.7"
"7","Martin Maldonado","MLB","7,057","0.005","0.002","5.9","2.1","4851","0.001","-1.1","35","-0.020","0.000","0.5","2018","6.5","3.1"
"8","Robinson Chirinos","MLB","6,888","-0.011","0.003","-11.2","3.4","4583","-0.001","0.7","46","0.026","-0.007","-0.8","2018","-11.0","-10.8"
"9","Yasmani Grandal","MLB","6,851","0.015","0.001","15.7","0.9","4643","-0.001","0.8","60","-0.001","0.001","0.1","2018","16.3","17.7"
"10","Yan Gomes","MLB","6,527","0.008","0.002","7.5","1.9","4275","-0.001","1.7","66","-0.001","0.000","0.0","2018","9.6","9.1"
"11","Jorge Alfaro","MLB","6,302","0.013","0.002","12.3","1.6","4157","0.002","-2.4","67","0.000","0.007","-0.0","2018","10.2","12.2"
"12","Salvador Perez","MLB","6,302","-0.010","0.003","-9.9","2.5","4168","0.001","-0.6","46","-0.025","-0.005","0.8","2018","-9.5","-8.1"
"13","Mike Zunino","MLB","6,245","0.008","0.002","7.5","1.7","4071","0.001","-1.1","47","-0.013","-0.002","0.4","2018","6.6","6.4"
"14","Francisco Cervelli","MLB","5,825","-0.006","0.002","-5.8","1.9","3910","0.001","-1.1","51","-0.018","0.002","0.6","2018","-6.5","-4.0"
"15","Chris Iannetta","MLB","5,660","0.002","0.002","1.4","1.6","3656","-0.000","0.3","45","0.013","0.003","-0.4","2018","1.2","-0.5"
"16","Wilson Ramos","MLB","5,642","0.000","0.002","0.3","1.9","3732","0.000","-0.1","44","-0.002","0.004","0.1","2018","0.9","-0.8"
"17","Kurt Suzuki","MLB","5,614","-0.009","0.003","-7.5","2.3","3793","-0.001","1.5","51","0.010","0.000","-0.4","2018","-6.6","-5.5"
"18","Buster Posey","MLB","5,604","0.001","0.002","0.9","1.8","3555","-0.001","0.7","52","-0.004","-0.004","0.1","2018","2.0","1.6"
"19","Manny Pina","MLB","5,497","0.006","0.002","4.8","2.0","3516","-0.001","1.3","41","-0.019","-0.001","0.5","2018","6.3","7.0"
"20","Austin Hedges","MLB","5,355","0.016","0.002","13.0","1.7","3674","-0.000","0.1","51","0.010","-0.001","-0.4","2018","12.6","11.8"
"21","Caleb Joseph","MLB","5,327","-0.006","0.002","-4.6","1.7","3729","0.000","-0.4","50","-0.010","-0.004","0.3","2018","-5.0","-4.7"
"22","Mitch Garver","MLB","5,254","-0.010","0.002","-8.2","1.7","3668","-0.000","0.2","46","0.013","0.003","-0.4","2018","-8.5","-8.6"
"23","Omar Narvaez","MLB","4,976","-0.014","0.003","-10.8","2.5","3537","0.005","-4.6","63","0.003","0.008","-0.1","2018","-15.7","-17.6"
"24","Nick Hundley","MLB","4,910","-0.018","0.002","-13.2","1.7","3146","0.001","-0.5","52","0.008","-0.002","-0.3","2018","-14.1","-14.0"
"25","Sandy Leon","MLB","4,892","0.016","0.002","11.6","1.7","3331","-0.000","0.1","30","-0.003","-0.001","0.1","2018","11.7","11.7"
"26","Gary Sanchez","MLB","4,742","0.005","0.002","3.3","1.5","3369","0.005","-4.3","35","-0.007","0.008","0.2","2018","-1.0","-1.4"
"27","Christian Vazquez","MLB","4,670","0.013","0.002","9.0","1.4","3117","-0.000","0.1","32","-0.005","-0.003","0.1","2018","9.0","8.3"
"28","Russell Martin","MLB","4,653","0.010","0.002","7.3","1.4","3245","-0.002","1.6","65","0.008","0.004","-0.3","2018","8.4","8.1"
"29","Austin Romine","MLB","4,511","0.006","0.002","4.2","1.3","3274","-0.002","2.2","53","0.001","0.001","-0.0","2018","6.3","6.8"
"30","Tyler Flowers","MLB","4,499","0.020","0.002","13.7","1.1","3020","0.000","-0.4","49","0.005","0.010","-0.2","2018","13.0","13.2"
"31","Kevin Plawecki","MLB","4,391","-0.007","0.002","-4.6","1.5","2795","-0.003","2.0","57","0.000","-0.001","-0.0","2018","-2.7","-2.1"
"32","Max Stassi","MLB","4,170","0.022","0.003","13.9","2.2","2767","-0.000","0.1","36","0.002","-0.000","-0.1","2018","14.0","14.5"
"33","Devin Mesoraco","MLB","4,157","-0.012","0.002","-7.4","1.2","2718","-0.001","0.6","51","0.012","0.002","-0.4","2018","-7.4","-7.3"
"34","Matt Wieters","MLB","3,922","-0.006","0.002","-3.7","1.4","2603","-0.002","1.1","41","-0.011","0.000","0.3","2018","-2.3","-4.0"
