"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"35","Luke Maile","MLB","3,897","0.014","0.003","8.1","2.0","2783","-0.000","0.1","41","-0.003","-0.003","0.1","2018","8.2","9.5"
"36","Elias Diaz","MLB","3,894","-0.002","0.002","-1.2","1.4","2705","0.003","-2.0","33","-0.004","0.002","0.1","2018","-3.2","0.6"
"37","Jeff Mathis","MLB","3,713","0.021","0.003","11.8","1.6","2640","-0.003","2.3","22","-0.003","-0.003","0.0","2018","14.1","18.4"
"38","Pedro Severino","MLB","3,590","0.001","0.002","0.3","1.1","2389","-0.000","0.2","37","-0.004","0.005","0.1","2018","0.5","-0.0"
"39","Erik Kratz","MLB","3,569","0.018","0.003","9.9","1.7","2473","-0.002","1.3","37","0.003","0.002","-0.1","2018","11.1","10.4"
"40","Alex Avila","MLB","3,507","0.007","0.003","3.7","1.6","2301","-0.001","0.3","24","-0.001","-0.004","-0.0","2018","4.3","3.2"
"41","Jesus Sucre","MLB","3,439","-0.009","0.002","-4.9","0.9","2278","-0.001","0.7","26","-0.003","-0.002","0.0","2018","-3.8","-4.2"
"42","Tony Wolters","MLB","3,414","0.019","0.003","10.2","1.8","2378","0.001","-0.6","28","-0.011","-0.001","0.2","2018","9.6","10.7"
"43","Roberto Perez","MLB","3,374","0.021","0.004","10.9","2.0","2400","-0.002","1.6","32","0.011","-0.001","-0.2","2018","12.1","11.1"
"44","Brian McCann","MLB","3,348","-0.006","0.004","-3.0","1.9","2281","0.002","-1.4","27","-0.006","0.001","0.1","2018","-4.5","-3.4"
"45","John Ryan Murphy","MLB","3,267","0.019","0.002","9.3","1.1","2450","-0.001","0.3","27","0.004","-0.001","-0.1","2018","9.9","10.2"
"46","Drew Butera","MLB","3,193","-0.015","0.003","-7.1","1.3","2231","0.000","-0.1","26","0.015","-0.000","-0.3","2018","-7.7","-7.0"
"47","Kevan Smith","MLB","3,125","0.003","0.002","1.5","1.2","2078","0.002","-0.9","40","0.012","0.006","-0.3","2018","0.7","0.1"
"48","Andrew Knapp","MLB","2,878","-0.008","0.003","-3.5","1.3","1993","0.001","-0.4","33","0.013","0.007","-0.3","2018","-4.3","-5.4"
"49","A.J. Ellis","MLB","2,866","-0.021","0.003","-9.3","1.2","1822","0.001","-0.5","35","-0.008","0.011","0.2","2018","-9.7","-8.9"
"50","Austin Barnes","MLB","2,837","0.019","0.005","8.3","2.0","1970","-0.002","1.0","18","0.004","-0.006","-0.1","2018","9.2","10.1"
"51","Bobby Wilson","MLB","2,811","0.007","0.002","3.0","1.0","1967","-0.001","0.7","24","-0.002","-0.007","0.0","2018","3.7","4.1"
"52","Welington Castillo","MLB","2,805","-0.013","0.004","-5.5","1.7","2025","0.001","-0.8","30","-0.004","0.007","0.1","2018","-6.4","-6.5"
"53","Bryan Holaday","MLB","2,781","0.007","0.003","2.8","1.3","1867","-0.002","0.9","33","-0.018","0.006","0.4","2018","4.0","4.5"
"54","Chance Sisco","MLB","2,717","-0.005","0.002","-2.2","1.0","2007","-0.001","0.3","33","0.002","0.002","-0.1","2018","-2.1","-2.8"
"55","Spencer Kieboom","MLB","2,635","-0.003","0.003","-1.4","1.3","1724","-0.002","1.0","22","-0.008","0.000","0.1","2018","-0.3","-0.7"
"56","Francisco Pena","MLB","2,347","-0.011","0.002","-3.9","0.7","1576","0.003","-1.3","11","0.005","0.000","-0.0","2018","-5.2","-6.2"
"57","Austin Wynns","MLB","2,289","-0.006","0.003","-2.3","1.1","1575","-0.001","0.5","20","-0.004","0.000","0.1","2018","-1.8","-0.5"
"58","Victor Caratini","MLB","2,259","-0.003","0.003","-1.0","1.1","1481","-0.001","0.3","30","-0.003","0.003","0.1","2018","-1.1","-0.5"
"59","Isiah Kiner-Falefa","MLB","2,193","-0.030","0.002","-9.9","0.6","1361","0.003","-1.0","22","-0.001","0.005","0.0","2018","-10.9","-6.9"
"60","Jose Briceno","MLB","2,161","0.004","0.004","1.2","1.2","1469","0.002","-0.6","15","-0.000","0.003","0.0","2018","0.9","-0.0"
